Airline,Entity,Positive Mentions,Negative Mentions,Total Mentions,Average Sentiment
British Airways,BA,881,929,1816,0.004097852422907458
British Airways,Loganair,3,0,3,0.2598666666666667
British Airways,Manchester,4,9,13,-0.2932615384615384
British Airways,LHR,83,93,176,-0.019405113636363675
British Airways,Durban,6,6,12,0.034575
British Airways,South African Airways,1,2,3,-0.29550000000000004
British Airways,CemAir,0,1,1,-0.9353
British Airways,SAA,1,2,3,-0.1774
British Airways,EU,4,6,11,-0.2696363636363637
British Airways,T5,35,12,47,0.4650702127659575
British Airways,the South Lounge,3,0,3,0.7832
British Airways,USB,7,5,12,0.23429166666666665
British Airways,JNB,4,3,7,0.17818571428571425
British Airways,SMS,0,5,5,-0.9247400000000001
British Airways,British Airways,344,473,820,-0.1103520731707315
British Airways,IAD,1,2,3,-0.2443
British Airways,Lufthansa,12,11,23,0.0965695652173913
British Airways,American Airlines,15,23,38,-0.23936315789473672
British Airways,Main,1,1,2,0.03870000000000001
British Airways,KLM,5,3,8,0.34164999999999995
British Airways,Eurostar,1,4,5,-0.5601
British Airways,Qantas,27,7,34,0.5376058823529412
British Airways,Cathay,9,3,12,0.40160833333333334
British Airways,Customer Service,3,7,10,-0.3268400000000001
British Airways,Lost & Found,0,1,1,-0.9848
British Airways,GBP,0,1,1,-0.9848
British Airways,Executive Club,4,4,8,0.2849625
British Airways,Exec Club,1,0,1,0.9201
British Airways,TUI,2,1,3,0.1513
British Airways,Cadbury,1,0,1,0.9201
British Airways,World Traveller Plus,7,5,12,0.18605833333333333
British Airways,Economy/World Traveller,0,1,1,-0.9661
British Airways,Air Canada,8,9,17,-0.050811764705882376
British Airways,American Airlines FF,1,0,1,0.8141
British Airways,Gold,5,4,9,0.14195555555555556
British Airways,NEVER,1,0,1,0.8141
British Airways,American Airllines,1,0,1,0.8141
British Airways,the American Airlines Admirals Club,0,1,1,-0.4215
British Airways,EPA,0,1,1,-0.4215
British Airways,the British Centre for Effective Dispute Resolution,0,1,1,-0.9515
British Airways,the British Airways,4,5,9,-0.2103666666666667
British Airways,BA502 to Lisbon,1,0,1,0.6474
British Airways,British Airways Flight,0,1,1,-0.7184
British Airways,British Airways World Traveller Plus,1,0,1,0.9747
British Airways,Club World,57,23,80,0.3905149999999999
British Airways,Club Suites,2,0,2,0.87845
British Airways,LHR-ORD-LHR Round,0,1,1,-0.96
British Airways,McDonalds,0,1,1,-0.96
British Airways,First Suite,0,1,1,-0.96
British Airways,ORD-LHR,0,2,2,-0.96
British Airways,Chicago International Terminal,0,1,1,-0.96
British Airways,American Airlines Terminal 3,0,1,1,-0.96
British Airways,DFW,1,5,6,-0.5556
British Airways,BA CityFlyer,2,0,2,0.78035
British Airways,British Airlines,0,2,2,-0.87445
British Airways,LAX,4,14,18,-0.5025111111111111
British Airways,Airbus,5,2,7,0.37300000000000005
British Airways,Paris CDG,3,2,5,-0.017600000000000025
British Airways,Air France,9,10,19,-0.04513157894736847
British Airways,CDG,1,6,7,-0.676357142857143
British Airways,AF,0,1,1,-0.9737
British Airways,BA Business T5,0,1,1,-0.784
British Airways,WiFi,1,1,2,0.0817
British Airways,Toulouse,0,1,1,-0.4473
British Airways,ANYTHING,0,1,1,-0.9629
British Airways,the Customer Service,2,1,3,0.22109999999999996
British Airways,WORST,1,1,2,0.018000000000000016
British Airways,A10,3,1,4,0.619075
British Airways,World Traveler,2,0,2,0.7601
British Airways,SFO,6,2,8,0.47346249999999995
British Airways,Norwegian Air,1,4,5,-0.55904
British Airways,Premium Economy,18,20,38,-0.02549473684210527
British Airways,PE,6,1,7,0.5497714285714286
British Airways,European Business Class,1,0,1,0.9658
British Airways,Flew British Airways,16,10,26,0.18339230769230774
British Airways,Terminal 5,4,2,6,0.40476666666666655
British Airways,United Air,1,0,1,0.935
British Airways,United,6,1,7,0.6588428571428572
British Airways,BC,2,0,2,0.94475
British Airways,Customer Relations,1,6,7,-0.4124714285714286
British Airways,Flying Club,1,0,1,0.9034
British Airways,ETA,0,1,1,-0.9815
British Airways,HKG,1,2,3,-0.31626666666666664
British Airways,LHR - SFO,1,0,1,0.95
British Airways,LAS - LGW August 2023,1,0,1,0.95
British Airways,IFE,32,6,38,0.6298605263157896
British Airways,LGW,14,3,17,0.5876058823529412
British Airways,Qatar Airways,16,3,19,0.5887105263157896
