Airline,Location,Positive Mentions,Negative Mentions,Total Mentions,Average Sentiment
British Airways,Cologne,0,2,2,-0.8033
British Airways,Europe,39,25,64,0.20814218750000002
British Airways,Underground,0,1,1,-0.682
British Airways,London,482,541,1025,-0.011620195121951137
British Airways,Johannesburg,30,24,55,0.1317636363636364
British Airways,Airline,2,1,3,0.07373333333333332
British Airways,Rome,21,24,45,-0.03382666666666665
British Airways,DC,1,1,2,-0.1941
British Airways,Washington,13,12,25,0.14680800000000002
British Airways,England,7,5,12,0.130875
British Airways,AirTag,0,1,1,-0.9716
British Airways,Emirates,25,14,39,0.2928717948717949
British Airways,Qatar,14,11,25,0.14604799999999998
British Airways,china,3,1,4,0.49377499999999996
British Airways,Mexico City,10,2,12,0.6230749999999999
British Airways,Amsterdam,20,34,54,-0.285388888888889
British Airways,Belfast,15,14,29,0.006265517241379359
British Airways,Etihad,0,2,2,-0.64485
British Airways,UA,0,1,1,-0.9081
British Airways,Iceland,3,11,14,-0.6013857142857143
British Airways,Emily,1,0,1,0.9201
British Airways,Club Class,2,4,6,-0.23985
British Airways,BA,7,2,9,0.5030555555555556
British Airways,Mumbai,13,7,20,0.3190450000000001
British Airways,Brinelle,0,1,1,-0.901
British Airways,Singapore,43,30,73,0.21958082191780814
British Airways,Munich,8,10,18,-0.06935555555555559
British Airways,Boston,21,13,34,0.14193529411764705
British Airways,Inflight,1,0,1,0.9001
British Airways,Canada,4,6,10,-0.14996000000000004
British Airways,Naples,4,2,6,0.4475833333333334
British Airways,Istanbul,8,20,28,-0.32375000000000004
British Airways,Dubai,13,22,35,-0.15521714285714286
British Airways,europe,1,1,2,-0.06705
British Airways,Mexico,4,2,6,0.31915000000000004
British Airways,Aeromexico,0,2,2,-0.4215
British Airways,UK,34,40,74,-0.05249189189189187
British Airways,Paris,7,25,32,-0.43213749999999995
British Airways,Hilton,2,1,3,0.3332333333333333
British Airways,Geneva,7,15,22,-0.194790909090909
British Airways,Club,10,8,19,0.08239473684210523
British Airways,New York,17,22,39,-0.07518461538461539
British Airways,World Traveler Plus,1,0,1,0.9825
British Airways,Seattle,13,10,24,0.17647916666666666
British Airways,Lisbon Portugal,1,0,1,0.6474
British Airways,Edinburgh,26,18,44,0.25363409090909095
British Airways,LHR,2,4,6,-0.19386666666666666
British Airways,Delhi,6,12,18,0.01527222222222223
British Airways,France,6,2,8,0.41255
