Airline,Staff,Positive Mentions,Negative Mentions,Total Mentions,Average Sentiment
British Airways,Flight BA 0560,0,1,1,-0.8957
British Airways,Cabin,75,37,112,0.3518598214285715
British Airways,Miguel,1,0,1,0.9972
British Airways,Onboard,10,7,17,0.14703529411764707
British Airways,Trip,5,7,12,-0.071725
British Airways,Checkin,2,1,3,0.3397666666666666
British Airways,Brexit,3,0,3,0.9379666666666666
British Airways,Purser,2,0,2,0.95075
British Airways,dessert,2,1,3,0.28923333333333334
British Airways,Covid,11,13,24,-0.07249583333333336
British Airways,Cancun,2,2,4,0.22544999999999998
British Airways,Aeromexico,0,1,1,-0.4215
British Airways,London Heathrow,115,80,195,0.186399487179487
British Airways,Appalling,0,1,1,-0.9062
British Airways,quinoa,1,0,1,0.9825
British Airways,WiFi,18,13,31,0.2404
British Airways,Sean Doyle,1,1,2,0.22845
British Airways,Mestre,0,1,1,-0.852
British Airways,Straightforward,2,0,2,0.6658
British Airways,Ryanair,33,37,71,-0.08267887323943668
British Airways,Thankfully,0,1,1,-0.8243
British Airways,Lounge,8,3,11,0.5103909090909091
British Airways,São Paulo,0,2,2,-0.73055
British Airways,Club Suite,4,2,6,0.28401666666666664
British Airways,JFK,16,15,31,0.04194516129032255
British Airways,Prosecco,1,0,1,0.9658
British Airways,Strawberry,1,0,1,0.9658
British Airways,LHR,3,1,4,0.13259999999999997
British Airways,London Gatwick,22,9,31,0.38473548387096773
British Airways,Length,0,1,1,-0.8422
British Airways,Mia,0,1,1,-0.8422
British Airways,Nairn,1,0,1,0.9881
British Airways,Raisin Oat,1,0,1,0.9881
British Airways,Wizz Air,2,0,2,0.99055
British Airways,Zone 2,0,1,1,-0.578
British Airways,Jay Ramphul,1,0,1,0.9704
British Airways,Jay,1,0,1,0.9704
British Airways,Captain,0,2,2,-0.85755
British Airways,Euro Traveller,1,1,2,-0.015049999999999952
British Airways,Whispering Angel,1,0,1,0.9794
British Airways,QF,1,1,2,0.20615
British Airways,style yin-yang,1,0,1,0.4645
British Airways,Soggy cookie,0,1,1,-0.9799
British Airways,Glasgow,8,6,14,0.21655714285714286
British Airways,Sathies,4,0,4,0.989
British Airways,Gurvir Singh,2,0,2,0.989
British Airways,Virgin,7,5,12,0.12080000000000002
British Airways,Sorry Captain,1,0,1,0.5013
British Airways,Lauren,1,0,1,0.9493
British Airways,Felt,1,3,4,-0.174475
British Airways,Rooibas,1,0,1,0.9971
British Airways,Gran Canaria,1,0,1,0.9979
British Airways,Bert,0,1,1,-0.9671
British Airways,Concorde,3,0,3,0.9906
British Airways,George,1,0,1,0.5956
British Airways,Tracey,1,0,1,0.9628
British Airways,Austin,2,0,2,0.93295
British Airways,T5,0,1,1,-0.6294
British Airways,Ns BA,0,1,1,-0.6127
British Airways,Alex Cruz,4,6,10,-0.13247000000000003
British Airways,Onboard WiFi,0,1,1,-0.6428
British Airways,Returning Athens,0,1,1,-0.7424
British Airways,Dubrovnik,4,2,6,0.3178166666666667
British Airways,Cabin Crew,6,1,7,0.6176714285714286
British Airways,Superb,1,0,1,0.9523
British Airways,Keflavik,2,0,2,0.81545
British Airways,Club Suites,2,0,2,0.9169499999999999
British Airways,Malaga,11,10,21,0.0748
British Airways,safari,0,1,1,-0.891
British Airways,Camembert,0,0,1,0.0
British Airways,Cityflyer,1,0,1,0.9446
British Airways,Toulouse,2,1,3,0.15219999999999997
British Airways,John Smith,1,0,1,0.32
British Airways,Ms John Smith,1,0,1,0.32
British Airways,Trusting BA's,1,0,1,0.32
British Airways,Customer Support,1,0,1,0.32
British Airways,Omelette,0,1,1,-0.2558
British Airways,Bodrum,0,1,1,-0.7096
British Airways,Tom,1,0,1,0.9657
British Airways,App,0,2,2,-0.79715
British Airways,James,1,1,2,-0.04494999999999999
British Airways,Iberia,1,1,2,0.09060000000000001
British Airways,home….we,0,1,1,-0.2996
British Airways,Plane,1,1,2,-0.05245
British Airways,Valencia,2,2,4,0.393675
British Airways,Netflix,0,1,1,-0.851
British Airways,Highlife,2,0,2,0.9479
British Airways,Easy Jet - at,0,1,1,-0.9148
British Airways,Nun,0,1,1,-0.9554
British Airways,Zuletzt,0,1,1,-0.9554
British Airways,Glück,0,1,1,-0.9554
British Airways,Kabinen Crew,0,1,1,-0.9554
British Airways,Dubrovnik Airport,1,0,1,0.9927
British Airways,Gatwick,19,10,29,0.3467206896551724
British Airways,Salzburg,0,2,2,-0.97635
British Airways,Copenhagen -Bangkok,0,1,1,-0.4094
British Airways,Althea,2,0,2,0.9933
British Airways,Outward,1,2,3,0.07373333333333336
British Airways,Traveller,0,1,1,-0.098
British Airways,Alicante,3,0,3,0.8164333333333333
British Airways,Gentleman,0,1,1,-0.1306
British Airways,Slight,1,0,1,0.9382
British Airways,Lunch,2,0,2,0.97265
British Airways,Keflavík,0,1,1,-0.9535
British Airways,100s,0,2,2,-0.9359
British Airways,Vegetarian Cannelloni,1,0,1,0.9873
British Airways,Emma,1,0,1,0.9867
British Airways,Daniel,1,0,1,0.9867
British Airways,Jo,1,0,1,0.9799
British Airways,LHR T5,1,1,2,0.10564999999999997
British Airways,Ran,0,1,1,-0.7687
British Airways,Yin,1,0,1,0.8534
British Airways,Yang,1,0,1,0.8534
British Airways,Anna,1,0,1,0.8534
British Airways,Maddie,1,0,1,0.8225
British Airways,Manchester,0,1,1,-0.7269
British Airways,Gina,1,0,1,0.986
British Airways,Barbara Collins,1,0,1,0.9824
British Airways,Barbara,1,0,1,0.9824
British Airways,Kashmir Dhami,1,0,1,0.9197
British Airways,Flights,0,3,3,-0.6965
British Airways,Flyer,1,1,2,0.1982
British Airways,Audio,0,1,1,-0.1215
British Airways,Edmonton,1,0,1,0.963
British Airways,Pushback,0,1,1,-0.08
British Airways,Suite,0,1,1,-0.08
British Airways,Sarah,1,0,1,0.9902
British Airways,ying yang,0,1,1,-0.7236
British Airways,Punta Cana,1,1,2,0.27745
British Airways,Twitter,3,0,3,0.7096666666666667
British Airways,Kulula,0,1,1,-0.659
British Airways,Ying Yang,1,0,1,0.5978
British Airways,the ying yang,2,0,2,0.45655
British Airways,Bronze,1,1,2,-0.19815
British Airways,Wifi,4,0,4,0.93695
British Airways,yang,1,2,3,-0.38033333333333336
British Airways,F. Good,0,1,1,-0.9172
British Airways,salmon bagel,0,1,1,-0.9172
British Airways,Onboard 10/10,1,0,1,0.6114
British Airways,Easy Jet,1,0,1,0.2114
British Airways,James Bond,1,0,1,0.9853
British Airways,Oreos,0,1,1,-0.296
British Airways,Emerald OneWorld,0,1,1,-0.5178
British Airways,us BA,0,1,1,-0.5439
British Airways,VeriFly,1,0,1,0.9531
British Airways,Bologna - BA,0,1,1,-0.8924
British Airways,Storm Eunice,0,1,1,-0.1901
British Airways,Storm Ciara,0,2,2,-0.79585
British Airways,Port Elizabeth,0,1,1,-0.9477
British Airways,Cape Town,1,2,3,-0.3237
British Airways,JFK BA,1,0,1,0.5477
British Airways,Glasgow Flight,0,1,1,-0.8039
British Airways,Chicken Caesar,1,0,1,0.9901
British Airways,Stewart Tim,1,0,1,0.9808
British Airways,Alaska Airline,0,1,1,-0.9034
British Airways,Journey,1,1,2,-0.37929999999999997
British Airways,Goncalo Ribeiro,1,0,1,0.901
British Airways,St Lucia,7,2,9,0.3367111111111111
British Airways,Amir,1,0,1,0.9862
British Airways,Cayman,0,1,1,-0.7784
British Airways,Onboard W-Fi,1,0,1,0.8311
British Airways,BA Cabin Crew,1,0,1,0.8263
British Airways,Ulster,1,0,1,0.8263
British Airways,Seriously BA,0,1,1,-0.7319
British Airways,Edreams,0,2,2,-0.4854
British Airways,Munich BA,0,1,1,-0.6597
British Airways,Kahina Ladjouze,1,0,1,0.6258
British Airways,Boris Johnson’s,1,0,1,0.7778
British Airways,Madeline Thomas,1,0,1,0.8658
British Airways,Chirstmas,1,0,1,0.9599
British Airways,Mani,1,0,1,0.9992
British Airways,Nicolas Feuillatte,1,0,1,0.9979
British Airways,Santorini,2,3,5,0.17696
British Airways,Lyon,0,3,3,-0.8608666666666668
British Airways,HK,0,1,1,-0.7335
British Airways,Ref,1,0,1,0.9033
British Airways,covid-19,0,1,1,-0.7634
British Airways,Goa,1,0,1,0.9715
British Airways,Mum,0,1,1,-0.4512
British Airways,Sadly Mum,0,1,1,-0.4512
British Airways,Webjet,0,1,1,-0.4512
British Airways,Ciara,0,1,1,-0.563
British Airways,Josey,1,0,1,0.9432
British Airways,mybeef,1,0,1,0.967
British Airways,Yoghurt,1,0,1,0.967
British Airways,Julie,1,0,1,0.6588
British Airways,Florencia,1,0,1,0.9117
British Airways,Tiger,0,1,1,-0.862
British Airways,Vegas,1,2,3,-0.06493333333333333
British Airways,a BA Gold,1,1,2,0.05395
British Airways,Eco,1,0,1,0.9816
British Airways,Abuja,0,1,1,-0.4497
British Airways,Found,0,1,1,-0.7906
British Airways,Arrived Heathrow,0,1,1,-0.8906
British Airways,Michael Croft's,1,0,1,0.7876
British Airways,Palma,0,2,2,-0.8463
British Airways,Amelia,1,0,1,0.9294
British Airways,Mykonos,0,1,1,-0.8957
British Airways,Freezing,0,1,1,-0.8573
British Airways,Pasta,1,0,1,0.7998
British Airways,BA762 Heathrow,1,0,1,0.9795
British Airways,Dirham,0,1,1,-0.2964
British Airways,Pyjamas,1,0,1,0.9788
